,prefix,input_file,group,input_dir
0,image0,image0.npz,train,/Users/lesliemeng/ImPartial2/Data/GFAP/three/
1,image1,image1.npz,train,/Users/lesliemeng/ImPartial2/Data/GFAP/three/
2,image2,image2.npz,train,/Users/lesliemeng/ImPartial2/Data/GFAP/three/
3,image3,image3.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/three/
4,image4,image10101589_6833.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
5,image5,image10101589_6834.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
6,image6,image10101589_6835.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
7,image7,image10101589_6836.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
8,image8,image10101589_6837.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
9,image9,image10101589_6838.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
10,image10,image10101589_6839.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
11,image11,image10101589_6840.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
12,image12,image10101589_6841.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
13,image13,image10101589_6842.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
14,image14,image10101589_6843.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
15,image15,image10101589_6844.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
16,image16,image10101589_6845.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
17,image17,image10101589_6846.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
18,image18,image10101589_6847.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
19,image19,image10101589_6848.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
20,image20,image10101589_6849.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
21,image21,image10101589_6850.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
22,image22,image10101589_6851.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
23,image23,image10101589_6852.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
24,image24,image10101589_6853.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
25,image25,image10101589_6854.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
26,image26,image10101589_6855.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
27,image27,image10101589_6856.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
28,image28,image10101589_6857.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
29,image29,image10101589_6858.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
30,image30,image10101589_6859.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
31,image31,image10101589_6860.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
32,image32,image10101589_6861.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
33,image33,image10101589_6862.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
34,image34,image10101589_6863.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
35,image35,image10101589_6864.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
36,image36,image10203224_6790.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
37,image37,image10203224_6791.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
38,image38,image10203224_6792.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
39,image39,image10203224_6793.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
40,image40,image10203224_6794.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
41,image41,image10203224_6795.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
42,image42,image10203224_6796.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
43,image43,image10203224_6797.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
44,image44,image10203224_6798.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
45,image45,image10203224_6799.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
46,image46,image10203224_6800.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
47,image47,image10203224_6801.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
48,image48,image10203224_6802.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
49,image49,image10203224_6803.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
50,image50,image10203224_6804.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
51,image51,image10203224_6805.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
52,image52,image10203224_6806.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
53,image53,image10203224_6807.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
54,image54,image10203224_6808.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
55,image55,image10203224_6809.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
56,image56,image10203224_6810.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
57,image57,image10203224_6811.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
58,image58,image10203224_6812.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
59,image59,image10203224_6813.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
60,image60,image10203224_6814.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
61,image61,image10203224_6815.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
62,image62,image10203224_6816.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
63,image63,image10203224_6817.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
64,image64,image10203224_6818.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
65,image65,image10203224_6819.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
66,image66,image10203224_6820.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
67,image67,image10203224_6821.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
68,image68,image10208143_4366.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
69,image69,image10208143_4367.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
70,image70,image10208143_4368.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
71,image71,image10208143_4369.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
72,image72,image10208143_4370.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
73,image73,image10208143_4371.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
74,image74,image10208143_4372.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
75,image75,image10208143_4373.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
76,image76,image10208143_4375.npz,test,/Users/lesliemeng/ImPartial2/Data/GFAP/test_image
