prefix,input_file,group,input_dir,task,segclass,th,auc,Jacc,mIoU,mDice,AP
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/GFAP/three/,0,0,0.05,0.5003909366820963,0.21588093376837578,0.42040608119833167,0.5919518962567295,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/GFAP/three/,0,0,0.1,0.5003909366820963,0.1261211407148903,0.4611515647880934,0.6312166041482986,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/GFAP/three/,0,0,0.15000000000000002,0.5003909366820963,0.09593526486540653,0.4720055243077499,0.6413094468618125,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/GFAP/three/,0,0,0.2,0.5003909366820963,0.07994264227901345,0.47729174580911315,0.6461712736352403,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/GFAP/three/,0,0,0.25,0.5003909366820963,0.06881164169284457,0.4808232760506167,0.6493999426897723,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/GFAP/three/,0,0,0.30000000000000004,0.5003909366820963,0.059142651193528496,0.48378126446576925,0.6520924280612732,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/GFAP/three/,0,0,0.35000000000000003,0.5003909366820963,0.05170986552859587,0.4860134216245098,0.6541171357350933,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/GFAP/three/,0,0,0.4,0.5003909366820963,0.045097621545671165,0.4879269859671207,0.6558480228595989,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/GFAP/three/,0,0,0.45,0.5003909366820963,0.03946298506946246,0.489529036029483,0.6572937137576774,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/GFAP/three/,0,0,0.5,0.5003909366820963,0.03444912572699991,0.49095061504467696,0.6585739456123294,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/GFAP/three/,0,0,0.55,0.5003909366820963,0.030087848616018095,0.49214319285132213,0.6596460650813152,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/GFAP/three/,0,0,0.6000000000000001,0.5003909366820963,0.026114075501539772,0.49323806246828517,0.6606288365715782,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/GFAP/three/,0,0,0.65,0.5003909366820963,0.02255095296399432,0.49419532958032497,0.6614869146669122,0.0
