,prefix,input_file,group,input_dir
0,image0,image0.npz,train,/Users/lesliemeng/ImPartial2/Data/NeuN/two
1,image1,image1.npz,train,/Users/lesliemeng/ImPartial2/Data/NeuN/two
2,image2,image2.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/two
3,image3,image10101589_2611.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
4,image4,image10101589_2612.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
5,image5,image10101589_2613.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
6,image6,image10101589_2614.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
7,image7,image10101589_2615.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
8,image8,image10101589_2616.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
9,image9,image10101589_2617.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
10,image10,image10101589_2618.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
11,image11,image10101589_2619.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
12,image12,image10101589_2620.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
13,image13,image10101589_2621.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
14,image14,image10101589_2622.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
15,image15,image10101589_2623.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
16,image16,image10101589_2624.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
17,image17,image10101589_2625.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
18,image18,image10101589_2626.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
19,image19,image10101589_2627.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
20,image20,image10101589_2628.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
21,image21,image10101589_2629.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
22,image22,image10101589_2630.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
23,image23,image10101589_2631.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
24,image24,image10101589_2632.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
25,image25,image10101589_2633.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
26,image26,image10101589_2634.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
27,image27,image10101589_2635.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
28,image28,image10101589_2636.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
29,image29,image10101589_2637.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
30,image30,image10101589_2638.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
31,image31,image10101589_2639.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
32,image32,image10101589_2640.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
33,image33,image10101589_2641.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
34,image34,image10101589_2642.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
35,image35,image10101589_2643.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
36,image36,image10203224_3392.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
37,image37,image10203224_3393.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
38,image38,image10203224_3394.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
39,image39,image10203224_3395.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
40,image40,image10203224_3396.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
41,image41,image10203224_3397.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
42,image42,image10203224_3398.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
43,image43,image10203224_3399.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
44,image44,image10203224_3400.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
45,image45,image10203224_3401.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
46,image46,image10203224_3402.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
47,image47,image10203224_3404.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
48,image48,image10203224_3405.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
49,image49,image10203224_3406.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
50,image50,image10203224_3407.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
51,image51,image10203224_3408.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
52,image52,image10203224_3409.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
53,image53,image10203224_3410.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
54,image54,image10203224_3411.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
55,image55,image10203224_3412.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
56,image56,image10203224_3413.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
57,image57,image10203224_3414.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
58,image58,image10203224_3415.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
59,image59,image10203224_3416.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
60,image60,image10203224_3417.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
61,image61,image10203224_3418.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
62,image62,image10203224_3419.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
63,image63,image10203224_3420.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
64,image64,image10203224_3421.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
65,image65,image10203224_3422.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
66,image66,image10203224_3423.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
67,image67,image10203224_3424.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
68,image68,image10203224_3425.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
69,image69,image10208143_1846.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
70,image70,image10208143_1847.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
71,image71,image10208143_1848.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
72,image72,image10208143_1849.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
73,image73,image10208143_1850.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
74,image74,image10208143_1851.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
75,image75,image10208143_1852.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
76,image76,image10208143_1853.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
77,image77,image10208143_1854.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
78,image78,image10208143_1855.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
79,image79,image10208143_1856.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
80,image80,image10208143_1857.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
81,image81,image10208143_1858.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
82,image82,image10208143_1859.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
83,image83,image10208143_1860.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
84,image84,image10208143_1861.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
85,image85,image10208143_1862.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
86,image86,image10208143_1863.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
87,image87,image10208143_1864.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
88,image88,image10208143_1865.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
89,image89,image10208143_1866.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
90,image90,image10208143_1867.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
91,image91,image10208143_1868.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
92,image92,image10208143_1869.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
93,image93,image10208143_1870.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
94,image94,image10208143_1871.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
95,image95,image10208143_1872.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
96,image96,image10208143_1873.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
97,image97,image10208143_1874.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
98,image98,image10208143_1875.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
99,image99,image10208143_1878.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
100,image100,image10208143_1879.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
101,image101,image10222853_2874.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
102,image102,image10222853_2875.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
103,image103,image10222853_2876.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
104,image104,image10222853_2877.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
105,image105,image10222853_2878.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
106,image106,image10222853_2879.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
107,image107,image10222853_2880.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
108,image108,image10222853_2881.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
109,image109,image10222853_2882.npz,test,/Users/lesliemeng/ImPartial2/Data/NeuN/test_image
