,prefix,input_file,group,input_dir
0,image0,image0.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
1,image1,image1.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
2,image2,image2.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
3,image3,image3.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
4,image4,image4.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
5,image5,image5.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
6,image6,image6.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
7,image7,image7.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
8,image8,image8.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
9,image9,image9.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
10,image10,image10.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
11,image11,image11.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
12,image12,image12.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
13,image13,image13.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
14,image14,image14.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
15,image15,image15.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
16,image16,image16.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
17,image17,image17.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
18,image18,image18.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
19,image19,image19.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
20,image20,image20.npz,train,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
21,image21,image21.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/all/
22,image22,image10101589_10861.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
23,image23,image10101589_10862.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
24,image24,image10101589_10863.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
25,image25,image10101589_10864.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
26,image26,image10101589_10865.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
27,image27,image10101589_10867.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
28,image28,image10101589_10868.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
29,image29,image10101589_10869.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
30,image30,image10101589_10870.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
31,image31,image10101589_10871.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
32,image32,image10101589_10872.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
33,image33,image10101589_10873.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
34,image34,image10101589_10874.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
35,image35,image10101589_10875.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
36,image36,image10101589_10876.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
37,image37,image10101589_10877.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
38,image38,image10101589_10878.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
39,image39,image10101589_10879.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
40,image40,image10101589_10880.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
41,image41,image10101589_10881.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
42,image42,image10101589_10882.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
43,image43,image10101589_10883.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
44,image44,image10101589_10884.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
45,image45,image10101589_10885.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
46,image46,image10101589_10886.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
47,image47,image10101589_10887.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
48,image48,image10101589_10888.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
49,image49,image10101589_10889.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
50,image50,image10101589_10890.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
51,image51,image10101589_10891.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
52,image52,image10101589_10892.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
53,image53,image10101589_10893.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
54,image54,image10101589_10894.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
55,image55,image10101589_10895.npz,test,/Users/lesliemeng/ImPartial2/Data/Olig2/test_image
