,prefix,input_file,group,input_dir
0,image0,image0.npz,train,/Users/lesliemeng/ImPartial2/Data/PECAM/two/
1,image1,image1.npz,train,/Users/lesliemeng/ImPartial2/Data/PECAM/two/
2,image2,image2.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/two/
3,image3,image10101589_15175.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
4,image4,image10101589_15176.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
5,image5,image10101589_15177.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
6,image6,image10101589_15178.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
7,image7,image10101589_15179.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
8,image8,image10101589_15180.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
9,image9,image10101589_15181.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
10,image10,image10101589_15182.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
11,image11,image10101589_15183.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
12,image12,image10101589_15184.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
13,image13,image10101589_15185.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
14,image14,image10101589_15186.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
15,image15,image10101589_15187.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
16,image16,image10101589_15188.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
17,image17,image10101589_15189.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
18,image18,image10101589_15190.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
19,image19,image10101589_15191.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
20,image20,image10101589_15192.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
21,image21,image10101589_15193.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
22,image22,image10101589_15194.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
23,image23,image10101589_15195.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
24,image24,image10101589_15196.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
25,image25,image10101589_15197.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
26,image26,image10101589_15198.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
27,image27,image10101589_15199.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
28,image28,image10101589_15200.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
29,image29,image10101589_15201.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
30,image30,image10101589_15202.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
31,image31,image10101589_15203.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
32,image32,image10101589_15204.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
33,image33,image10101589_15205.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
34,image34,image10101589_15206.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
35,image35,image10101589_15207.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
36,image36,image10203224_14557.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
37,image37,image10203224_14558.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
38,image38,image10203224_14559.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
39,image39,image10203224_14560.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
40,image40,image10203224_14561.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
41,image41,image10203224_14562.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
42,image42,image10203224_14563.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
43,image43,image10203224_14564.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
44,image44,image10203224_14565.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
45,image45,image10203224_14566.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
46,image46,image10203224_14567.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
47,image47,image10203224_14568.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
48,image48,image10203224_14569.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
49,image49,image10203224_14570.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
50,image50,image10203224_14571.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
51,image51,image10203224_14572.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
52,image52,image10203224_14573.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
53,image53,image10203224_14574.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
54,image54,image10203224_14575.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
55,image55,image10203224_14576.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
56,image56,image10203224_14577.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
57,image57,image10203224_14578.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
58,image58,image10203224_14579.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
59,image59,image10203224_14580.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
60,image60,image10203224_14581.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
61,image61,image10203224_14582.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
62,image62,image10203224_14583.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
63,image63,image10203224_14584.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
64,image64,image10203224_14585.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
65,image65,image10203224_14586.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
66,image66,image10203224_14587.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
67,image67,image10208143_13546.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
68,image68,image10208143_13547.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
69,image69,image10208143_13548.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
70,image70,image10208143_13549.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
71,image71,image10208143_13550.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
72,image72,image10208143_13551.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
73,image73,image10208143_13552.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
74,image74,image10208143_13553.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
75,image75,image10208143_13554.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
76,image76,image10208143_13555.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
77,image77,image10208143_13556.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
78,image78,image10208143_13558.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
79,image79,image10208143_13559.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
80,image80,image10208143_13560.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
81,image81,image10208143_13561.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
82,image82,image10208143_13562.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
83,image83,image10208143_13563.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
84,image84,image10208143_13564.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
85,image85,image10208143_13565.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
86,image86,image10208143_13566.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
87,image87,image10208143_13567.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
88,image88,image10208143_13568.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
89,image89,image10208143_13569.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
90,image90,image10208143_13570.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
91,image91,image10208143_13571.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
92,image92,image10208143_13572.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
93,image93,image10208143_13573.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
94,image94,image10208143_13574.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
95,image95,image10208143_13575.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
96,image96,image10208143_13576.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
97,image97,image10208143_13577.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
98,image98,image10208143_13578.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
99,image99,image10208143_13579.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
100,image100,image10222853_15787.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
101,image101,image10222853_15788.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
102,image102,image10222853_15789.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
103,image103,image10222853_15790.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
104,image104,image10222853_15791.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
105,image105,image10222853_15792.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
106,image106,image10222853_15794.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
107,image107,image10222853_15795.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
108,image108,image10222853_15796.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
109,image109,image10222853_15797.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
110,image110,image10222853_15798.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
111,image111,image10222853_15799.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
112,image112,image10222853_15801.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
113,image113,image10222853_15802.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
114,image114,image10222853_15803.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
115,image115,image10222853_15805.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
116,image116,image10222853_15806.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
117,image117,image10222853_15807.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
118,image118,image10222853_15808.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
119,image119,image10222853_15809.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
120,image120,image10222853_15810.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
121,image121,image10222853_15811.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
122,image122,image10222853_15812.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
123,image123,image10222853_15813.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
124,image124,image10222853_15814.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
125,image125,image10222853_15815.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
126,image126,image10222853_15816.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
127,image127,image10222853_15817.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
128,image128,image10222853_15818.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
129,image129,image10222853_15819.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
130,image130,image10222853_15820.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
131,image131,image10222853_15822.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
132,image132,image10222853_15823.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
133,image133,image10222853_15824.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
134,image134,image10249336_15219.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
135,image135,image10249336_15220.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
136,image136,image10249336_15221.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
137,image137,image10249336_15222.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
138,image138,image10249336_15223.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
139,image139,image10249336_15224.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
140,image140,image10249336_15225.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
141,image141,image10249336_15226.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
142,image142,image10249336_15227.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
143,image143,image10249336_15228.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
144,image144,image10249336_15229.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
145,image145,image10249336_15230.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
146,image146,image10249336_15231.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
147,image147,image10249336_15232.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
148,image148,image10249336_15233.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
149,image149,image10249336_15234.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
150,image150,image10249336_15235.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
151,image151,image10249336_15236.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
152,image152,image10249336_15237.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
153,image153,image10249336_15238.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
154,image154,image10249336_15239.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
155,image155,image10249336_15240.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
156,image156,image10249336_15241.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
157,image157,image10249336_15242.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
158,image158,image10249336_15243.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
159,image159,image10249336_15244.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
160,image160,image10249336_15245.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
161,image161,image10249336_15246.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
162,image162,image10249336_15247.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
163,image163,image10249336_15248.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
164,image164,image10249336_15249.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
165,image165,image10249336_15250.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
166,image166,image10249336_15251.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
167,image167,image10253148_14685.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
168,image168,image10253148_14686.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
169,image169,image10253148_14687.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
170,image170,image10253148_14688.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
171,image171,image10253148_14689.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
172,image172,image10253148_14690.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
173,image173,image10253148_14691.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
174,image174,image10253148_14692.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
175,image175,image10253148_14693.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
176,image176,image10253148_14694.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
177,image177,image10253148_14695.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
178,image178,image10253148_14696.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
179,image179,image10253148_14697.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
180,image180,image10253148_14698.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
181,image181,image10253148_14699.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
182,image182,image10253148_14700.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
183,image183,image10253148_14701.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
184,image184,image10253148_14702.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
185,image185,image10253148_14703.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
186,image186,image10253148_14704.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
187,image187,image10253148_14705.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
188,image188,image10253148_14706.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
189,image189,image10253148_14707.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
190,image190,image10253148_14708.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
191,image191,image10253148_14709.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
192,image192,image10253148_14710.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
193,image193,image10253148_14711.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
194,image194,image10253148_14712.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
195,image195,image10253148_14713.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
196,image196,image10253148_14714.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
197,image197,image10253148_14715.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
198,image198,image10253148_14716.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
199,image199,image10260309_14998.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
200,image200,image10260309_14999.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
201,image201,image10260309_15000.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
202,image202,image10260309_15001.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
203,image203,image10260309_15002.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
204,image204,image10260309_15003.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
205,image205,image10260309_15004.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
206,image206,image10260309_15005.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
207,image207,image10260309_15006.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
208,image208,image10260309_15007.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
209,image209,image10260309_15008.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
210,image210,image10260309_15009.npz,test,/Users/lesliemeng/ImPartial2/Data/PECAM/test_image
