prefix,input_file,group,input_dir,task,segclass,th,auc,Jacc,mIoU,mDice,AP
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.05,0.5006226006481688,0.31536197137209343,0.35078857741840075,0.5193829058194663,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.1,0.5006226006481688,0.25797034338694574,0.3949433539270416,0.5662498180279938,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.15000000000000002,0.5006226006481688,0.21947612143769069,0.4182005506336758,0.5897621398010535,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.2,0.5006226006481688,0.18968012151607483,0.4337633867579487,0.6050695813760527,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.25,0.5006226006481688,0.16498242429014046,0.44523890220487083,0.6161456249639725,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.30000000000000004,0.5006226006481688,0.1438588866207578,0.454244972582042,0.6247156914066371,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.35000000000000003,0.5006226006481688,0.12489106291041062,0.46167026569807224,0.6317021567182415,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.4,0.5006226006481688,0.1077076725257073,0.46795857441418354,0.6375635644055008,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.45,0.5006226006481688,0.09189407767687419,0.4734500596319642,0.6426412640547556,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.5,0.5006226006481688,0.07702223530767163,0.47828679878668434,0.6470823994981854,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.55,0.5006226006481688,0.06351443326821564,0.4825084567752271,0.6509350213623242,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.6000000000000001,0.5006226006481688,0.05112398810800709,0.48621103625337425,0.6542959347606482,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.65,0.5006226006481688,0.03998284889449939,0.48942526596008695,0.6571999962697996,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.7000000000000001,0.5006226006481688,0.029775422999095878,0.492227523245097,0.6597217020590489,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.75,0.5006226006481688,0.02097309742105563,0.49458971584427713,0.6618400266083744,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.8,0.5006226006481688,0.01355463914705621,0.49654333895261116,0.6635868925255475,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.8500000000000001,0.5006226006481688,0.007914006539750927,0.4980022982504644,0.6648884702757127,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.9,0.5006226006481688,0.004149068220070444,0.49894809425299447,0.6657309061474039,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.9500000000000001,0.5006226006481688,0.0018405527747370985,0.49952569966603355,0.6662448617129377,0.0
