,prefix,input_file,group,input_dir
0,image0,image0.npz,train,/Users/lesliemeng/ImPartial2/Data/iba1/four/
1,image1,image1.npz,train,/Users/lesliemeng/ImPartial2/Data/iba1/four/
2,image2,image2.npz,train,/Users/lesliemeng/ImPartial2/Data/iba1/four/
3,image3,image3.npz,train,/Users/lesliemeng/ImPartial2/Data/iba1/four/
4,image4,image4.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/four/
5,image5,image10101589_9236.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
6,image6,image10101589_9237.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
7,image7,image10101589_9238.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
8,image8,image10101589_9239.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
9,image9,image10101589_9240.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
10,image10,image10101589_9241.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
11,image11,image10101589_9242.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
12,image12,image10101589_9243.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
13,image13,image10101589_9244.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
14,image14,image10101589_9245.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
15,image15,image10101589_9246.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
16,image16,image10101589_9248.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
17,image17,image10101589_9249.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
18,image18,image10101589_9250.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
19,image19,image10101589_9251.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
20,image20,image10101589_9252.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
21,image21,image10101589_9253.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
22,image22,image10101589_9254.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
23,image23,image10101589_9255.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
24,image24,image10101589_9257.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
25,image25,image10101589_9258.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
26,image26,image10101589_9259.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
27,image27,image10101589_9260.npz,test,/Users/lesliemeng/ImPartial2/Data/iba1/test_image/
